i 的
4ro 造
4ra 持
4rh 即
4se 许
4si 证
4so 直
4sa 命
4sh 交
4ne 非
4ni 识
4no 技
4na 手
4nh 质
4tu 且
4tk 领
4tx 象
4ru 价
4rk 具
4rx 存
4su 议
4sk 收
4sx 做
4nu 争
4nk 感
4nx 企
4me 元
4mi 五
4mo 口
4ma 什
4mh 北
4le 增
4li 级
4lo 需
4la 商
4lh 真
4ce 单
4ci 完
4co 思
4ca 该
4ch 南
4mu 万
4mk 话
4mx 根
4lu 研
4lk 记
4lx 几
4cu 传
4ck 府
4cx 书
4ee 告
4ei 际
4eo 党
4ea 拉
4eh 调
4ie 切
4ii 亚
4io 准
4ia 头
4ih 放
4oe 每
4oi 才
4oo 布
4oa 回
4oh 服
4ae 究
4ai 台
4ao 气
4aa 极
4ah 构
4he 况
4hi 农
4ho 标
4ha 马
4hh 集
4eu 示
4ek 委
4ex 步
4iu 华
4ik 支
4ix 影
4ou 须
4ok 再
4ox 英
4au 器
4ak 路
4ax 约
4hu 难
4hk 备
4hx 称
4ue 始
4ui 病
4uo 办
4ua 专
4uh 费
4ke 整
4ki 线
4ko 言
4ka 选
4kh 较
4xe 近
4xi 今
4xo 复
4xa 律
4xh 广
4uu 转
4uk 列
4ux 未
4ku 效
4kk 型
4kx 息
4xu 失
4xk 投
4xx 罗
4tt 供
4tr 色
4ts 流
4tn 查
4rt 消
4rr 仅
4rs 例
4rn 便
4st 图
4sr 医
4ss 验
4sn 打
4nt 精
4nr 革
4ns 项
4nn 划
4tm 除
4tl 易
4tc 某
4rm 断
4rl 引
4rc 山
4sm 念
4sl 包
4sc 击
4nm 视
4nl 局
4nc 飞
4mt 清
4mr 干
4ms 考
4mn 历
4lt 算
4lr 士
4ls 团
4ln 史
4ct 网
4cr 织
4cs 却
4cn 百
4mm 施
4ml 带
4mc 王
4lm 营
4ll 责
4lc 照
4cm 致
4cl 显
4cc 林
5tet 深
5ter 批
5tes 限
5ten 族
5tit 风
5tir 光
5tis 节
5tin 态
5tot 容
5tor 九
5tos 令
5ton 案
5tat 护
5tar 采
5tas 望
5tan 防
5tht 功
5thr 育
5ths 推
5thn 参
5ret 太
5rer 维
5res 师
5ren 装
5rit 注
5rir 首
5ris 张
5rin 城
5rot 率
5ror 值
5ros 字
5ron 像
5rat 按
5rar 越
5ras 益
5ran 往
5rht 另
5rhr 土
5rhs 女
5rhn 号
5set 众
5ser 老
5ses 境
5sen 远
5sit 续
5sir 纪
5sis 严
5sin 六
5sot 状
5sor 创
5sos 料
5son 属
5sat 源
5sar 势
5sas 官
5san 依
5sht 够
5shr 章
5shs 觉
5shn 请
5net 职
5ner 离
5nes 让
5nen 响
5nit 白
5nir 股
5nis 段
5nin 八
5not 希
5nor 候
5nos 曾
5non 预
5nat 助
5nar 兵
5nas 米
5nan 述
5nht 适
5nhr 片
5nhs 普
5nhn 她
5ete 足
5eti 素
5eto 死
5eta 快
5eth 察
5ere 周
5eri 承
5ero 速
5era 派
5erh 志
5ese 止
5esi 石
5eso 车
5esa 省
5esh 财
5ene 古
5eni 否
5eno 苏
5ena 尽
5enh 群
5ite 洲
5iti 环
5ito 随
5ita 税
5ith 获
5ire 连
5iri 谈
5iro 京
5ira 低
5irh 边
5ise 走
5isi 球
5iso 儿
5isa 药
5ish 试
5ine 印
5ini 语
5ino 巴
5ina 举
5inh 策
5ote 审
5oti 检
5oto 协
5ota 住
5oth 火
5ore 满
5ori 七
5oro 斗
5ora 声
5orh 夫
5ose 食
5osi 劳
5oso 积
5osa 弹
5osh 写
5one 密
5oni 阿
5ono 底
5ona 围
5onh 爱
5ate 独
5ati 置
5ato 星
5ata 害
5ath 判
5are 似
5ari 继
5aro 配
5ara 武
5arh 乎
5ase 模
5asi 陆
5aso 突
5asa 假
5ash 层
5ane 细
5ani 负
5ano 阶
5ana 险
5anh 卫
5hte 威
5hti 终
5hto 核
5hta 虽
5hth 仍
5hre 早
5hri 范
5hro 帝
5hra 纳
5hrh 控
5hse 航
5hsi 尼
5hso 征
5hsa 习
5hsh 执
5hne 亲
5hni 降
5hno 绝
5hna 讲
5hnh 甚
3id 攻
3ig 款
3if 落
3od 超
3og 青
3of 初
3ad 热
3ag 充
3af 破
3hd 优
3hg 般
3hf 校
3iv 诉
3ib 排
3iw 兰
3ov 域
3ob 央
3ow 版
3av 占
3ab 序
3aw 花
3hv 波
3hb 富
3hw 括
3ud 货
3ug 射
3uf 河
3kd 千
3kg 略
3kf 听
3xd 脑
3xg 善
3xf 敌
3uv 留
3ub 减
3uw 愿
3kv 欧
3kb 伊
3kw 兴
3xv 担
3xb 修
3xw 宣
3yr 血
3ys 互
3yn 呢
3pr 罪
3ps 评
3pn 销
3ym 湾
3yl 眼
3yc 江
3pm 故
3pl 测
3pc 坚
3yd 半
3yg 舰
3yf 疗
3pd 乐
3pg 户
3pf 客
3yv 压
3yb 毛
3yw 监
3pv 演
3pb 卡
3pw 养
3qr 错
3qs 免
3qn 居
3jr 概
3js 简
3jn 轻
3qm 均
3ql 州
3qc 激
3jm 李
3jl 差
3jc 抗
3qd 予
3qg 著
3qf 犯
3jd 双
3jg 释
3jf 异
3qv 损
3qb 黑
3qw 银
3jv 输
3jb 奇
3jw 答
3ry 额
3rp 升
3sy 港
3sp 找
3ny 船
3np 福
3rq 付
3rj 宗
3sq 份
3sj 村
3nq 副
3nj 危
3my 础
3mp 既
3ly 怎
3lp 游
3cy 误
3cp 待
3mq 紧
3mj 佛
3lq 久
3lj 音
3cq 登
3cj 讨
3di 票
3do 若
3da 余
3dh 红
3gi 编
3go 疑
3ga 站
3gh 陈
3fi 母
3fo 岛
3fa 胜
3fh 移
3du 择
3dk 买
3dx 微
3gu 托
3gk 朝
3gx 困
3fu 房
3fk 角
3fx 换
3dy 艺
3dp 黄
3gy 督
3gp 退
3fy 刻
3fp 席
3dq 康
3dj 友
3gq 送
3gj 阳
3fq 亿
3fj 缺
3vi 逐
3vo 录
3va 挥
3vh 智
3bi 固
3bo 含
3ba 健
3bh 杂
3wi 厂
3wo 俄
3wa 伤
3wh 贸
3vu 虑
3vk 索
3vx 购
3bu 苦
3bk 读
3bx 良
3wu 右
3wk 痛
3wx 临
3vy 靠
3vp 扩
3by 材
3bp 补
3wy 架
3wp 雷
3vq 附
3vj 室
3bq 洋
3bj 恶
3wq 灵
3wj 坏
3iy 烈
3ip 警
3oy 售
3op 县
3ay 析
3ap 介
3hy 停
3hp 叫
3iq 败
3ij 温
3oq 冲
3oj 钱
3aq 吃
3aj 香
3hq 景
3hj 竞
3uy 顿
3up 杀
3ky 追
3kp 短
3xy 庭
3xp 鱼
3uq 巨
3uj 遗
3kq 皮
3kj 访
3xq 泽
3xj 左
3yi 岁
3yo 草
3ya 孩
3yh 永
3pi 吸
3po 帮
3pa 授
3ph 油
3yu 欢
3yk 申
3yx 训
3pu 木
3pk 奥
3px 载
3yy 守
3yp 树
3py 络
3pp 稳
3yq 归
3yj 哲
3pq 云
3pj 伯
3qi 植
3qo 毫
3qa 汉
3qh 闻
3ji 软
3jo 词
3ja 谓
3jh 拿
3qu 典
3qk 赛
3qx 炸
3ju 顾
3jk 促
3jx 怀
3qy 亡
3qp 急
3jy 努
3jp 灭
3qq 端
3qj 父
3jq 探
3jj 坦
4ed 私
4eg 币
4ef 铁
4id 男
4ig 哪
4if 订
4od 染
4og 培
4of 博
4ad 味
4ag 封
4af 诺
4hd 座
4hg 页
4hf 藏
4ev 萨
4eb 措
4ew 束
4iv 违
4ib 迫
4iw 乱
4ov 勒
4ob 圣
4ow 散
4av 库
4ab 剧
4aw 班
4hv 岸
4hb 救
4hw 牙
4ud 避
4ug 毒
4uf 遇
4kd 喜
4kg 秘
4kf 潜
4xd 伦
4xg 沙
4xf 耶
4uv 贵
4ub 遍
4uw 侵
4kv 借
4kb 晚
4kw 刚
4xv 吗
4xb 鲁
4xw 盟
4yt 野
4yr 债
4ys 松
4yn 背
4pt 跟
4pr 针
4ps 诸
4pn 拥
4ym 延
4yl 符
4yc 筑
4pm 刑
4pl 汇
4pc 叶
4yd 旅
4yg 恐
4yf 龙
4pd 症
4pg 乡
4pf 倒
4yv 哈
4yb 遭
4yw 融
4pv 裁
4pb 塔
4pw 脱
4qt 纯
4qr 练
4qs 障
4qn 卖
4jt 弱
4jr 亦
4js 您
4jn 渐
4qm 罚
4ql 怕
4qc 寻
4jm 暴
4jl 镇
4jc 块
4qd 旧
4qg 刘
4qf 宝
4jd 殊
4jg 甲
4jf 埃
4qv 竟
4qb 宁
4qw 禁
4jv 耳
4jb 途
4jw 露
4ty 句
4tp 肯
4ry 姆
4rp 骨
4sy 尚
4sp 湖
4ny 徒
4np 卷
4tq 抵
4tj 楚
4rq 伟
4rj 奖
4sq 肉
4sj 患
4nq 偿
4nj 荣
4my 弃
4mp 唯
4ly 献
4lp 幸
4cy 呼
4cp 篇
4mq 惊
4mj 洛
4lq 谁
4lj 夜
4cq 静
4cj 馆
4de 阴
4di 盘
4do 尤
4da 蒙
4dh 讯
4ge 鲜
4gi 签
4go 谋
4ga 胞
4gh 炮
4fe 轮
4fi 涉
4fo 画
4fa 森
4fh 田
4du 凡
4dk 妇
4dx 虚
4gu 握
4gk 吉
4gx 顺
4fu 享
4fk 欲
4fx 皇
4dy 园
4dp 牛
4gy 塞
4gp 盖
4fy 沉
4fp 诗
4dq 曲
4dj 恩
4gq 毁
4gj 距
4fq 慢
4fj 冷
4ve 描
4vi 熟
4vo 春
4va 阻
4vh 诊
4be 掉
4bi 莫
4bo 炎
4ba 瓦
4bh 综
4we 援
4wi 祖
4wo 衡
4wa 梦
4wh 播
4vu 操
4vk 末
4vx 混
4bu 迅
4bk 搞
4bx 役
4wu 套
4wk 透
4wx 趣
4vy 哥
4vp 掌
4by 彻
4bp 贝
4wy 胡
4wp 丰
4vq 虫
4vj 盛
4bq 板
4bj 泛
4wq 触
4wj 估
4ey 残
4ep 乃
4iy 笔
4ip 雅
4oy 阵
4op 辑
4ay 抓
4ap 坐
4hy 扬
4hp 驻
4eq 谢
4ej 雨
4iq 钟
4ij 尊
4oq 券
4oj 迎
4aq 鼓
4aj 召
4hq 赞
4hj 婚
4uy 矿
4up 繁
4ky 宇
4kp 莱
4xy 午
4xp 刊
4uq 穿
4uj 径
4kq 袭
4kj 宽
4xq 爆
4xj 摄
4ye 润
4yi 课
4yo 宋
4ya 宫
4yh 季
4pe 枪
4pi 倾
4po 震
4pa 曼
4ph 殖
4yu 刺
4yk 隐
4yx 夺
4pu 疾
4pk 映
4px 摩
4yy 休
4yp 媒
4py 届
4pp 沿
4yq 硬
4yj 酒
4pq 粮
4pj 招
4qe 迹
4qi 贫
4qo 替
4qa 盾
4qh 艇
4je 辩
4ji 礼
4jo 污
4ja 雄
4jh 灾
4qu 液
4qk 汽
4qx 诚
4ju 歌
4jk 绍
4jx 译
4qy 邦
4qp 君
4jy 趋
4jp 缩
4qq 惯
4qj 裂
4jq 折
4jj 租
5tem 励
5tel 储
5tec 毕
5tim 偏
5til 衣
5tic 乌
5tom 仪
5tol 倍
5toc 麦
5tam 启
5tal 丁
5tac 彼
5thm 夏
5thl 暗
5thc 宪
5rem 笑
5rel 剂
5rec 碍
5rim 乏
5ril 纷
5ric 赖
5rom 捕
5rol 键
5roc 暂
5ram 纸
5ral 圆
5rac 署
5rhm 旦
5rhl 撤
5rhc 拒
5sem 冰
5sel 彩
5sec 店
5sim 陷
5sil 恢
5sic 矛
5som 贷
5sol 愈
5soc 童
5sam 侧
5sal 顶
5sac 洞
5shm 逃
5shl 零
5shc 泰
5nem 恰
5nel 册
5nec 码
5nim 浪
5nil 缘
5nic 脚
5nom 戏
5nol 翻
5noc 允
5nam 谷
5nal 潮
5nac 宜
5nhm 酸
5nhl 腊
5nhc 轰
5tut 烟
5tur 抽
5tus 杰
5tun 弗
5tkt 敢
5tkr 宙
5tks 吧
5tkn 绿
5txt 牌
5txr 齐
5txs 朗
5txn 楼
5rut 翼
5rur 践
5rus 犹
5run 辖
5rkt 缓
5rkr 朋
5rks 阅
5rkn 偶
5rxt 废
5rxr 丽
5rxs 频
5rxn 聚
5sut 贯
5sur 乘
5sus 澳
5sun 堂
5skt 幅
5skr 唐
5sks 屋
5skn 逻
5sxt 川
5sxr 菲
5sxs 累
5sxn 亮
5nut 庆
5nur 臣
5nus 丹
5nun 胁
5nkt 拟
5nkr 纵
5nks 赫
5nkn 贡
5nxt 驱
5nxr 怪
5nxs 韩
5nxn 艘
5tum 净
5tul 孙
5tuc 撒
5tkm 挑
5tkl 悲
5tkc 仰
5txm 忘
5txl 弟
5txc 敏
5rum 迷
5rul 麻
5ruc 闭
5rkm 奴
5rkl 绩
5rkc 舞
5rxm 吨
5rxl 赶
5rxc 丝
5sum 勇
5sul 俗
5suc 冒
5skm 伴
5skl 伙
5skc 幕
5sxm 秀
5sxl 敬
5sxc 雪
5num 拍
5nul 扰
5nuc 尾
5nkm 床
5nkl 默
5nkc 兼
5nxm 奋
5nxl 遵
5nxc 忆
5met 瑞
5mer 玛
5mes 腐
5men 吴
5mit 厚
5mir 悉
5mis 烧
5min 杨
5mot 穷
5mor 姓
5mos 鼻
5mon 癌
5mat 详
5mar 邮
5mas 摆
5man 镜
5mht 隔
5mhr 菌
5mhs 呈
5mhn 返
5let 巧
5ler 忽
5les 跑
5len 醒
5lit 疫
5lir 庄
5lis 菜
5lin 秩
5lot 戴
5lor 挂
5los 艾
5lon 桥
5lat 朱
5lar 洗
5las 梅
5lan 睡
5lht 鉴
5lhr 旋
5lhs 拜
5lhn 柏
5cet 迪
5cer 扁
5ces 孔
5cen 洪
5cit 慧
5cir 肝
5cis 鸟
5cin 饭
5cot 荷
5cor 奉
5cos 询
5con 御
5cat 磁
5car 耐
5cas 龄
5can 伍
5cht 幼
5chr 妻
5chs 胆
5chn 崇
5mem 街
5mel 械
5mec 旗
5mim 讼
5mil 丧
5mic 蒂
5mom 籍
5mol 岩
5moc 忠
5mam 玉
5mal 杜
5mac 荒
5mhm 凭
5mhl 辆
5mhc 脉
5lem 弄
5lel 赔
5lec 津
5lim 宾
5lil 隆
5lic 燃
5lom 饮
5lol 筹
5loc 迁
5lam 忍
5lal 横
5lac 肿
5lhm 氧
5lhl 蒋
5lhc 黎
5cem 渡
5cel 峡
5cec 循
5cim 邓
5cil 贴
5cic 粹
5com 妙
5col 衰
5coc 狂
5cam 履
5cal 牧
5cac 腹
5chm 跳
5chl 勤
5chc 赋
5mut 伪
5mur 恒
5mus 蛋
5mun 誉
5mkt 幻
5mkr 绪
5mks 跌
5mkn 缴
5mxt 截
5mxr 佳
5mxs 窗
5mxn 墨
5lut 肥
5lur 茶
5lus 辛
5lun 叙
5lkt 揭
5lkr 董
5lks 迟
5lkn 粒
5lxt 仿
5lxr 忙
5lxs 卢
5lxn 抱
5cut 皆
5cur 扎
5cus 蓝
5cun 箭
5ckt 绕
5ckr 仁
5cks 档
5ckn 尿
5cxt 勃
5cxr 侦
5cxs 圈
5cxn 纽
5mum 舍
5mul 旁
5muc 糖
5mkm 纠
5mkl 驶
5mkc 睛
5mxm 牲
5mxl 厅
5mxc 稍
5lum 冬
5lul 浮
5luc 堡
5lkm 膜
5lkl 稿
5lkc 契
5lxm 饲
5lxl 剩
5lxc 猛
5cum 耗
5cul 扣
5cuc 峰
5ckm 洁
5ckl 粉
5ckc 凯
5cxm 钢
5cxl 函
5cxc 雇
5etu 涨
5etk 炼
5etx 煤
5eru 跃
5erk 箱
5erx 坡
5esu 轨
5esk 址
5esx 粗
5enu 羊
5enk 骗
5enx 隶
5itu 尺
5itk 艰
5itx 伸
5iru 壮
5irk 惩
5irx 割
5isu 刀
5isk 烦
5isx 懂
5inu 怒
5ink 忧
5inx 玩
5otu 乙
5otk 兽
5otx 振
5oru 堆
5ork 灯
5orx 滑
5osu 霍
5osk 秋
5osx 巡
5onu 敦
5onk 薄
5onx 递
5atu 魂
5atk 冠
5atx 搜
5aru 肃
5ark 耕
5arx 廉
5asu 珍
5ask 惠
5asx 吾
5anu 昆
5ank 诱
5anx 漫
5htu 脸
5htk 辞
5htx 纲
5hru 邻
5hrk 押
5hrx 削
5hsu 乳
5hsk 墙
5hsx 绘
5hnu 跨
5hnk 宏
5hnx 甘
5eme 晶
5emi 摇
5emo 於
5ema 抢
5emh 戒
5ele 祭
5eli 晨
5elo 怖
5ela 豪
5elh 帕
5ece 帐
5eci 盐
5eco 晓
5eca 兹
5ech 扫
5ime 邪
5imi 颗
5imo 尖
5ima 卵
5imh 穆
5ile 渔
5ili 赏
5ilo 肤
5ila 寄
5ilh 饰
5ice 猩
5ici 脏
5ico 辉
5ica 逊
5ich 沟
5ome 抑
5omi 锋
5omo 孤
5oma 泥
5omh 乔
5ole 坛
5oli 徐
5olo 晋
5ola 拔
5olh 伐
5oce 抛
5oci 灰
5oco 赵
5oca 驾
5och 氏
5ame 淡
5ami 拖
5amo 陶
5ama 柱
5amh 惧
5ale 狱
5ali 餐
5alo 岗
5ala 梁
5alh 瘤
5ace 锁
5aci 刷
5aco 壁
5aca 肌
5ach 寒
5hme 兄
5hmi 胃
5hmo 颜
5hma 珠
5hmh 碎
5hle 茨
5hli 沃
5hlo 伏
5hla 扶
5hlh 虎
5hce 圳
5hci 井
5hco 览
5hca 胸
5hch 悟
5emu 覆
5emk 泉
5emx 戈
5elu 唱
5elk 旨
5elx 浓
5ecu 赢
5eck 仲
5ecx 焦
5imu 骑
5imk 慎
5imx 胎
5ilu 喷
5ilk 携
5ilx 妈
5icu 迈
5ick 劣
5icx 盗
5omu 尝
5omk 歧
5omx 鬼
5olu 纹
5olk 歼
5olx 汗
5ocu 鸡
5ock 掩
5ocx 阔
5amu 啊
5amk 曰
5amx 填
5alu 祝
5alk 袖
5alx 畜
5acu 磨
5ack 疼
5acx 拨
5hmu 腺
5hmk 垂
5hmx 踪
5hlu 貌
5hlk 颇
5hlx 肺
5hcu 蓄
5hck 阐
5hcx 寿
5ute 荡
5uti 齿
5uto 酬
5uta 捷
5uth 番
5ure 牺
5uri 庞
5uro 妥
5ura 赤
5urh 斤
5use 插
5usi 猎
5uso 昨
5usa 糊
5ush 遣
5une 亏
5uni 欺
5uno 胀
5una 舒
5unh 邀
5kte 剥
5kti 仔
5kto 佩
5kta 仙
5kth 叛
5kre 昌
5kri 弥
5kro 廷
5kra 枚
5krh 辨
5kse 惑
5ksi 肠
5kso 喝
5ksa 桑
5ksh 枝
5kne 偷
5kni 奔
5kno 碰
5kna 後
5knh 霸
5xte 吹
5xti 浅
5xto 逆
5xta 斥
5xth 棉
5xre 漠
5xri 蜂
5xro 疆
5xra 舶
5xrh 腿
5xse 贪
5xsi 凤
5xso 闪
5xsa 惨
5xsh 孕
5xne 腰
5xni 丘
5xno 鼠
5xna 恨
5xnh 辅
5utu 厉
5utk 翰
5utx 框
5uru 疯
5urk 纤
5urx 添
5usu 湿
5usk 殿
5usx 腔
5unu 愤
5unk 秦
5unx 凝
5ktu 诞
5ktk 杯
5ktx 韦
5kru 遥
5krk 拓
5krx 溃
5ksu 瑟
5ksk 撞
5ksx 盲
5knu 姐
5knk 豆
5knx 牢
5xtu 赴
5xtk 雕
5xtx 铜
5xru 慈
5xrk 厘
5xrx 垄
5xsu 塑
5xsk 蛇
5xsx 汤
5xnu 牵
5xnk 罢
5xnx 壳
5ume 陀
5umi 辽
5umo 阁
5uma 葡
5umh 肾
5ule 脂
5uli 稣
5ulo 稀
5ula 尘
5ulh 剑
5uce 愚
5uci 池
5uco 屈
5uca 孟
5uch 鸣
5kme 锐
5kmi 爵
5kmo 菩
5kma 郑
5kmh 薪
5kle 妨
5kli 嘴
5klo 彭
5kla 涌
5klh 宅
5kce 倡
5kci 魏
5kco 驳
5kca 欣
5kch 溶
5xme 赠
5xmi 爬
5xmo 惜
5xma 紫
5xmh 魔
5xle 墓
5xli 丈
5xlo 骤
5xla 谨
5xlh 厌
5xce 泊
5xci 劫
5xco 恼
5xca 酷
5xch 链
5umu 锦
5umk 狭
5umx 桌
5ulu 狗
5ulk 串
5ulx 秒
5ucu 锡
5uck 挖
5ucx 屏
5kmu 颁
5kmk 耀
5kmx 裕
5klu 逼
5klk 贺
5klx 萄
5kcu 摧
5kck 聘
5kcx 滋
5xmu 帅
5xmk 眠
5xmx 陵
5xlu 劝
5xlk 玄
5xlx 涂
5xcu 聪
5xck 辟
5xcx 斑
5tee 暖
5tei 玻
5teo 昂
5tea 舱
5teh 摸
5tie 埋
5tii 夸
5tio 盈
5tia 竭
5tih 沈
5toe 嫌
5toi 欠
5too 拘
5toa 疏
5toh 仓
5tae 漂
5tai 奶
5tao 侨
5taa 闲
5tah 寸
5the 胶
5thi 丛
5tho 僚
5tha 喊
5thh 辱
5ree 猪
5rei 嘉
5reo 闹
5rea 颈
5reh 辐
5rie 姻
5rii 婴
5rio 袋
5ria 熊
5rih 肩
5roe 瓜
5roi 浙
5roo 仑
5roa 渠
5roh 咨
5rae 竹
5rai 漏
5rao 囊
5raa 瓷
5rah 儒
5rhe 奈
5rhi 梯
5rho 腾
5rha 奏
5rhh 膨
5see 掘
5sei 慰
5seo 滥
5sea 怨
5seh 挤
5sie 硕
5sii 吐
5sio 摘
5sia 兑
5sih 苗
5soe 悬
5soi 氛
5soo 劲
5soa 堪
5soh 渴
5sae 疲
5sai 斜
5sao 粘
5saa 吞
5sah 滞
5she 寺
5shi 谍
5sho 惟
5sha 椎
5shh 拆
5nee 芬
5nei 柯
5neo 纺
5nea 仇
5neh 泡
5nie 巩
5nii 辈
5nio 陕
5nia 爸
5nih 俱
5noe 铺
5noi 杆
5noo 捐
5noa 弯
5noh 宿
5nae 姿
5nai 歇
5nao 颠
5naa 轴
5nah 舆
5nhe 伞
5nhi 妄
5nho 猜
5nha 畅
5nhh 赐
5tte 灌
5tti 雌
5tto 脊
5tta 涛
5tth 崩
5tre 畏
5tri 掠
5tro 罕
5tra 亩
5trh 芳
5tse 搬
5tsi 棋
5tso 喻
5tsa 禅
5tsh 钻
5tne 窃
5tni 吁
5tno 猿
5tna 娜
5tnh 娘
5rte 涵
5rti 姑
5rto 蛮
5rta 庙
5rth 朴
5rre 凌
5rri 泄
5rro 卓
5rra 冯
5rrh 顽
5rse 晰
5rsi 账
5rso 挺
5rsa 祥
5rsh 匹
5rne 翅
5rni 鲍
5rno 丢
5rna 祸
5rnh 蔽
5ste 芯
5sti 瓶
5sto 尸
5sta 赚
5sth 呀
5sre 卑
5sri 凶
5sro 巢
5sra 饱
5srh 仗
5sse 谬
5ssi 滴
5sso 壤
5ssa 逝
5ssh 幽
5sne 逮
5sni 谱
5sno 妹
5sna 雾
5snh 挪
5nte 屠
5nti 徽
5nto 郭
5nta 弊
5nth 滚
5nre 吕
5nri 冻
5nro 镑
5nra 泌
5nrh 唤
5nse 喉
5nsi 痕
5nso 抬
5nsa 晴
5nsh 踏
5nne 遂
5nni 哭
5nno 仆
5nna 搭
5nnh 猫
5eet 呆
5eer 烂
5ees 悄
5een 璃
5eit 饥
5eir 吓
5eis 僧
5ein 柔
5eot 撰
5eor 宰
5eos 愉
5eon 恋
5eat 浩
5ear 潘
5eas 肢
5ean 谊
5eht 螺
5ehr 迦
5ehs 悔
5ehn 捉
5iet 忌
5ier 旬
5ies 迄
5ien 燕
5iit 蒸
5iir 郁
5iis 伽
5iin 葛
5iot 厦
5ior 抚
5ios 傲
5ion 滩
5iat 炭
5iar 涅
5ias 帽
5ian 昏
5iht 栖
5ihr 陪
5ihs 栏
5ihn 氢
5oet 碑
5oer 朵
5oes 擦
5oen 曹
5oit 擅
5oir 羽
5ois 衷
5oin 夹
5oot 扭
5oor 莲
5oos 窑
5oon 俘
5oat 汪
5oar 泪
5oas 拼
5oan 奸
5oht 狼
5ohr 鹏
5ohs 炉
5ohn 鹿
5aet 鞋
5aer 叹
5aes 谴
5aen 郎
5ait 淫
5air 傅
5ais 猴
5ain 舌
5aot 饿
5aor 醉
5aos 钩
5aon 凉
5aat 扮
5aar 丑
5aas 矩
5aan 淋
5aht 锻
5ahr 叉
5ahs 衔
5ahn 蜜
5het 披
5her 庸
5hes 侯
5hen 兆
5hit 旺
5hir 悦
5his 缝
5hin 盆
5hot 扑
5hor 荐
5hos 毅
5hon 葬
5hat 鹰
5har 桃
5has 谐
5han 钦
5hht 脆
5hhr 吊
5hhs 彪
5hhn 咽
5ett 臭
5etr 缔
5ets 窄
5etn 贿
5ert 骂
5err 芝
5ers 郡
5ern 奠
5est 笼
5esr 畴
5ess 挡
5esn 嘱
5ent 匠
5enr 颂
5ens 豫
5enn 碳
5itt 渗
5itr 娱
5its 臂
5itn 亨
5irt 钓
5irr 淮
5irs 催
5irn 杭
5ist 舟
5isr 哀
5iss 挫
